버스정류장ARS번호,역명,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,정류소,퇴근시간대승차총승객수,퇴근시간대하차총승객수
18001,문성초등학교,39017,37362,46484,45903,26995,25860,문성초등학교(18001),112496,109125
18002,문성초등학교,50940,112393,58844,128448,41790,102818,문성초등학교(18002),151574,343659
18003,금천우체국,152947,62516,208066,66689,137305,47193,금천우체국(18003),498318,176398
18004,금천우체국,84479,107696,105706,144274,85084,123175,금천우체국(18004),275269,375145
18005,말미고개,38576,33767,42061,35956,27406,23906,말미고개(18005),108043,93629
18006,말미고개,24847,77242,28357,116023,22221,105095,말미고개(18006),75425,298360
18007,금천구청.금천경찰서,67703,27741,76035,32212,43497,22257,금천구청.금천경찰서(18007),187235,82210
18008,금천구청.금천경찰서,25458,100077,32435,141586,26518,121380,금천구청.금천경찰서(18008),84411,363043
18009,시흥사거리,86287,39739,94859,42294,62506,30840,시흥사거리(18009),243652,112873
18010,시흥사거리,52843,92723,64288,123925,50644,111653,시흥사거리(18010),167775,328301
18011,박미삼거리.국립전통예술중고,37147,39010,36633,48328,23973,39916,박미삼거리.국립전통예술중고(18011),97753,127254
18012,박미삼거리.국립전통예술중고,25434,32363,29674,46076,22081,44947,박미삼거리.국립전통예술중고(18012),77189,123386
18013,시흥유통센터,39956,21976,44682,32529,23631,27656,시흥유통센터(18013),108269,82161
18014,시흥유통센터,35354,54270,41053,68429,19535,58576,시흥유통센터(18014),95942,181275
18101,한일유엔아이아파트,2305,11,3124,10,1670,7,한일유엔아이아파트(18101),7099,28
18102,디지털3단지.롯데정보통신,9457,976,25053,1037,10795,765,디지털3단지.롯데정보통신(18102),45305,2778
18103,에이스하이엔드타워5차,14977,2177,23018,3263,11324,3952,에이스하이엔드타워5차(18103),49319,9392
18104,디지털3단지.영창실업,4353,6601,7637,7119,4016,4846,디지털3단지.영창실업(18104),16006,18566
18105,디지털3단지운동장,6569,539,13089,367,5356,274,디지털3단지운동장(18105),25014,1180
18106,가산디지털단지역,8127,21085,13482,27386,14953,14997,가산디지털단지역(18106),36562,63468
18107,가산디지털단지역,43240,12968,56328,20235,63302,11358,가산디지털단지역(18107),162870,44561
18108,디지털3단지.월드벤처센터,9653,962,17310,857,10452,825,디지털3단지.월드벤처센터(18108),37415,2644
18109,디지털3단지.(주)로옴코리아,20414,3727,29202,5383,18237,3072,디지털3단지.(주)로옴코리아(18109),67853,12182
18110,디지털3단지사거리,8767,1399,17147,1344,10733,1366,디지털3단지사거리(18110),36647,4109
18111,디지털3단지사거리,29605,7534,67217,8396,26786,8699,디지털3단지사거리(18111),123608,24629
18112,디지털3단지사거리,81721,11247,137675,12800,78564,9229,디지털3단지사거리(18112),297960,33276
18113,금천패션아울렛사거리.마리오,38863,39220,50008,37451,43258,30000,금천패션아울렛사거리.마리오(18113),132129,106671
18114,금천패션아울렛사거리.W몰,75515,21275,86132,24197,61693,15283,금천패션아울렛사거리.W몰(18114),223340,60755
18115,금천패션아울렛사거리.현대아울렛,31229,8223,29539,9762,25264,7107,금천패션아울렛사거리.현대아울렛(18115),86032,25092
18116,디지털단지오거리,13222,9023,21164,12360,13306,9423,디지털단지오거리(18116),47692,30806
18117,디지털단지오거리,6710,4906,7812,4861,4906,4144,디지털단지오거리(18117),19428,13911
18118,디지털단지오거리,44403,23647,64951,28296,36726,24581,디지털단지오거리(18118),146080,76524
18119,가산초등학교,24018,18736,28192,23750,24455,16169,가산초등학교(18119),76665,58655
18120,가산동주민센터.금천글로벌센터,8276,7367,10586,10731,5989,8221,가산동주민센터.금천글로벌센터(18120),24851,26319
18121,가산동주민센터.금천글로벌센터,4596,4649,5479,5688,4302,4300,가산동주민센터.금천글로벌센터(18121),14377,14637
18122,구립가산도서관.두산위브아파트,7465,6955,10968,9803,7337,7798,구립가산도서관.두산위브아파트(18122),25770,24556
18123,구립가산도서관.두산위브아파트,4929,4346,6450,4883,5339,3740,구립가산도서관.두산위브아파트(18123),16718,12969
18124,독산사거리,5346,11230,8456,14662,7047,11102,독산사거리(18124),20849,36994
18125,독산사거리,8163,3880,7924,4488,6881,3113,독산사거리(18125),22968,11481
18126,독산주공13단지,3291,14628,2722,17528,2431,24649,독산주공13단지(18126),8444,56805
18127,독산1동한신코아,15560,3478,11775,3349,6745,2440,독산1동한신코아(18127),34080,9267
18128,독산주공14단지,138,6730,198,9705,218,11774,독산주공14단지(18128),554,28209
18129,독산주공14단지,4777,276,4570,241,2872,260,독산주공14단지(18129),12219,777
18130,독산근린공원,281,12917,652,20082,451,22131,독산근린공원(18130),1384,55130
18131,독산근린공원,8968,556,13075,530,5657,417,독산근린공원(18131),27700,1503
18132,독산동우시장,11944,14185,14090,18004,10750,20252,독산동우시장(18132),36784,52441
18133,독산동우시장,20166,12833,21900,14386,14838,8188,독산동우시장(18133),56904,35407
18134,시흥사거리.시흥대교,34613,24089,49614,35527,44841,33907,시흥사거리.시흥대교(18134),129068,93523
