노선번호,정류소ID,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,자치구,퇴근시간대승차총승객수,퇴근시간대하차총승객수,year,month,정류소명,longitude,latitude
360,119000007,403,483,385,746,251,442,224,326,동작구,1263,1997,2022,12,현대아파트,126.931437,37.513174
360,119000008,235,351,246,511,105,413,59,288,동작구,645,1563,2022,12,현대아파트.유한양행,126.9323737,37.51323685
360,119000010,484,429,719,519,557,503,336,306,동작구,2096,1757,2022,12,노량진수산시장.CTS기독교TV,126.9388656,37.51348008
360,119000011,643,339,834,445,709,340,512,298,동작구,2698,1422,2022,12,노량진역,126.943811,37.513733
360,119000013,327,135,331,112,313,95,274,76,동작구,1245,418,2022,12,노들역,126.949256,37.512825
360,118000008,1360,123,1987,112,1046,89,927,124,영등포구,5320,448,2022,12,여의도환승센터,126.9246697,37.52605934
360,118000199,817,523,876,347,361,174,198,63,영등포구,2252,1107,2022,12,파크원타워.LG트윈타워,126.927025,37.52695606
360,118000054,370,493,328,452,149,217,134,138,영등포구,981,1300,2022,12,여의나루역,126.9316211,37.52730438
360,118000140,375,388,288,449,166,333,118,208,영등포구,947,1378,2022,12,신길역,126.916956,37.516815
360,118000141,466,654,336,1008,294,683,220,649,영등포구,1316,2994,2022,12,신길새마을금고,126.9200351,37.51364094
360,118000169,239,550,256,810,114,723,76,508,영등포구,685,2591,2022,12,대방역,126.9242224,37.51300482
360,118000197,2012,154,2139,139,1441,83,1775,45,영등포구,7367,421,2022,12,더현대서울,126.9281836,37.52500458
360,118000563,190,577,192,933,69,516,66,444,영등포구,517,2470,2022,12,신길역1호선,126.9166369,37.5167591
360,119000030,170,257,144,321,120,221,82,187,동작구,516,986,2022,12,흑석동효사정앞,126.96101,37.511297
360,119000033,319,510,280,598,208,601,160,417,동작구,967,2126,2022,12,흑석역.명수대현대아파트,126.9650448,37.50749841
360,119000036,359,225,254,339,130,295,107,244,동작구,850,1103,2022,12,비계,126.9680258,37.50630169
360,119000039,25,71,24,94,32,64,9,34,동작구,90,263,2022,12,흑석동한강현대아파트,126.9711242,37.5054978
360,119000040,44,162,32,149,26,110,14,72,동작구,116,493,2022,12,동작역.국립현충원,126.9769232,37.50242091
360,119000293,67,117,56,159,36,155,46,106,동작구,205,537,2022,12,동작실버센터입구,126.9567459,37.51300859
360,121000107,390,531,532,784,273,611,166,473,서초구,1361,2399,2022,12,논현사거리.논현역5번출구,127.0192203,37.51064806
360,121000114,538,261,721,296,372,261,256,227,서초구,1887,1045,2022,12,논현사거리.논현역4번출구,127.0196824,37.51042061
360,122000093,540,207,551,148,256,77,206,77,강남구,1553,509,2022,12,강남경찰서면허시험장,127.0657996,37.50994627
360,122000098,1224,540,1578,473,1065,274,1102,217,강남구,4969,1504,2022,12,한국무역센터.삼성역,127.0617006,37.50866701
360,122000114,3629,874,4951,1079,2028,514,1046,338,강남구,11654,2805,2022,12,포스코건너편,127.0554269,37.50668319
360,122000115,978,1685,1217,2309,762,857,721,390,강남구,3678,5241,2022,12,선릉역,127.050205,37.505143
360,122000174,2231,525,2882,689,1531,366,1073,255,강남구,7717,1835,2022,12,서울상록회관.한국기술센터,127.044057,37.503232
360,122000177,1716,523,2204,762,1521,422,1017,298,강남구,6458,2005,2022,12,아가방빌딩.하나은행,127.0386329,37.50154098
360,122000180,1306,643,1700,763,1077,434,1042,250,강남구,5125,2090,2022,12,역삼역,127.0350786,37.50044184
360,122000181,1338,1612,1643,2219,839,1358,702,961,강남구,4522,6150,2022,12,강남역12번출구,127.0298391,37.4988294
360,122000184,676,1116,681,1101,616,802,533,556,강남구,2506,3575,2022,12,강남역.역삼세무서,127.0291478,37.49813573
360,122000185,505,1068,642,1131,493,839,454,582,강남구,2094,3620,2022,12,역삼역.포스코타워역삼,127.03379,37.49957175
360,122000201,440,1020,493,1069,338,810,395,667,강남구,1666,3566,2022,12,한서병원,127.038818,37.501137
360,122000202,873,730,857,797,636,480,572,406,강남구,2938,2413,2022,12,한국자산신탁.센터필드,127.044247,37.502783
360,122000356,616,278,989,225,412,146,255,123,강남구,2272,772,2022,12,강남경찰서.강남운전면허시험장,127.0660087,37.5095036
360,123000003,400,292,419,526,300,176,219,132,송파구,1338,1126,2022,12,석촌호수.한솔병원,127.1058262,37.50680017
360,123000005,371,425,272,540,196,204,139,121,송파구,978,1290,2022,12,석촌역,127.1089443,37.5034083
360,123000007,435,386,325,473,241,194,164,143,송파구,1165,1196,2022,12,송파역,127.1118384,37.50020848
360,123000009,787,396,733,486,370,250,286,190,송파구,2176,1322,2022,12,가락시장.가락시장역,127.1171609,37.4943822
360,123000011,1268,115,1850,159,468,68,302,46,송파구,3888,388,2022,12,문정로데오거리입구,127.1213628,37.4883649
360,123000013,914,61,1019,48,449,21,336,30,송파구,2718,160,2022,12,문정법조단지.건영아파트,127.124748,37.482125
360,123000015,956,37,864,23,498,19,490,13,송파구,2808,92,2022,12,장지역.가든파이브,127.1261238,37.47904339
360,123000049,848,930,730,1228,585,416,588,302,송파구,2751,2876,2022,12,잠실역.롯데월드,127.0979458,37.51289931
360,123000050,348,358,239,340,169,178,134,149,송파구,890,1025,2022,12,잠실5단지,127.0939144,37.51221325
360,123000052,127,729,105,693,60,365,71,282,송파구,363,2069,2022,12,잠실새내역.잠실2동주민센터,127.0872805,37.51177229
360,123000053,358,603,268,592,206,435,223,267,송파구,1055,1897,2022,12,잠실엘스아파트앞,127.0833905,37.51187062
360,123000054,329,354,257,275,117,169,118,128,송파구,821,926,2022,12,종합운동장사거리,127.0796916,37.51200924
360,123000055,219,151,139,99,78,66,105,48,송파구,541,364,2022,12,잠실종합운동장,127.0720733,37.51111753
360,123000056,124,489,124,510,87,463,87,322,송파구,422,1784,2022,12,잠실트리지움아파트앞,127.0912021,37.51151161
360,123000069,792,516,873,678,868,538,681,411,송파구,3214,2143,2022,12,잠실새내역4번출구,127.0844951,37.51140666
360,123000436,0,212,1,239,0,203,1,172,송파구,2,826,2022,12,복정역환승주차장,127.128144,37.470728
360,123000660,183,2,133,1,55,1,50,0,송파구,421,4,2022,12,복정역환승센터3번승강장,127.1275898,37.46992977
