정류장순번,정류소명,17시,18시,19시,20시,17시 혼잡도,18시_혼잡도,19시_혼잡도,20시_혼잡도
1,강동공영차고지,0,1,0,0,여유,여유,여유,여유
2,강일리버파크6단지,1,0,0,0,여유,여유,여유,여유
3,강일리버파크8단지,2,2,2,1,여유,여유,여유,여유
4,강일고등학교.강일리버파크7단지,4,3,2,2,여유,여유,여유,여유
5,강일초등학교,6,5,3,4,여유,여유,여유,여유
7,고덕리엔파크1단지,11,14,8,5,여유,보통,여유,여유
8,해뜨는주유소,10,17,9,7,보통,보통,여유,여유
9,상일동역4번출구.센트럴푸르지오,10,19,10,8,보통,보통,여유,여유
10,상일동역1번출구,15,30,11,10,보통,보통,여유,여유
11,고덕그라시움,15,21,13,9,보통,보통,여유,여유
12,고덕평생학습관.온조대왕체육관,15,28,17,12,보통,여유,여유,여유
13,고덕역,18,36,21,16,보통,여유,여유,여유
14,배재중고등학교,22,35,24,15,보통,여유,여유,여유
15,동부기술교육원.장애인종합복지관,21,34,22,15,보통,보통,여유,여유
16,명일초등학교,19,32,23,15,보통,혼잡,여유,여유
17,암사3동주민센터(강동롯데캐슬퍼스트),21,36,21,15,보통,혼잡,여유,여유
18,강일중.선사고,25,31,25,16,보통,혼잡,보통,여유
19,신암중학교,25,32,30,15,보통,매우혼잡,보통,보통
20,삼성광나루아파트.암사동유적,22,28,23,14,혼잡,혼잡,혼잡,혼잡
21,암사역선사현대아파트,19,32,16,13,혼잡,매우혼잡,혼잡,혼잡
22,천호동공원,21,31,16,12,혼잡,매우혼잡,혼잡,혼잡
23,서울현대요양병원,21,25,15,11,보통,혼잡,혼잡,보통
24,천호역현대백화점.노동권익센터,17,20,15,9,보통,혼잡,혼잡,보통
25,천호역.풍납시장,18,19,20,12,보통,혼잡,보통,보통
26,영파여고.강동구청역,19,23,16,12,혼잡,혼잡,보통,보통
27,현대아파트앞,23,27,16,15,보통,혼잡,보통,보통
28,풍납동극동.쌍용아파트,24,32,24,13,보통,보통,보통,여유
29,잠실파크리오아파트상가.올림픽회관,28,39,27,17,보통,보통,보통,여유
30,몽촌토성역.한성백제역,27,40,31,18,보통,보통,보통,여유
31,방이중학교,30,38,33,16,여유,보통,여유,여유
32,송파나루역.방이시장,27,28,33,14,여유,여유,여유,여유
33,송파초등학교.송파동성당,26,26,32,15,여유,보통,여유,여유
34,송파여성문화회관,25,27,33,15,여유,보통,여유,여유
35,석촌동한솔아파트앞,24,26,33,18,여유,여유,여유,여유
36,석촌고분역.올림픽병원,24,25,26,13,여유,여유,여유,여유
37,송파구민회관구의회,24,21,23,10,여유,혼잡,여유,여유
38,삼전역,22,21,20,10,보통,혼잡,보통,여유
39,잠실우성4차현대아파트,24,19,18,10,여유,혼잡,여유,여유
40,잠실근린공원.성현교회,28,21,14,10,보통,혼잡,보통,여유
41,아주중학교,35,32,16,11,보통,매우혼잡,혼잡,여유
42,탄천교,34,33,18,11,보통,매우혼잡,혼잡,여유
43,래미안하이스턴.대치순복음교회,30,36,23,14,보통,매우혼잡,혼잡,여유
44,은마아파트입구사거리,22,33,22,13,여유,보통,보통,여유
45,도곡초등학교,18,32,22,16,보통,보통,여유,여유
46,한티역2번출구.서울강남고용노동지청,17,27,23,18,보통,보통,보통,여유
47,한티역7번출구,23,25,27,18,보통,보통,여유,여유
48,역삼중학교.강남세브란스병원,22,22,23,18,보통,보통,보통,여유
49,도곡1차아이파크.역삼청소년수련관,20,21,22,12,여유,여유,여유,여유
50,역삼럭키아파트.역삼월드메르디앙아파트,21,37,22,14,여유,여유,여유,여유
51,뱅뱅사거리.역삼동,19,37,22,16,여유,여유,여유,여유
52,뱅뱅사거리,18,37,16,9,여유,여유,여유,여유
53,래미안리더스원아파트,16,41,12,11,여유,여유,여유,여유
54,래미안에스티지에스,17,42,10,13,여유,여유,여유,여유
55,롯데칠성,16,36,9,12,여유,여유,여유,여유
56,강남역,16,23,13,10,여유,여유,여유,여유
57,수협서초지점,23,31,16,15,여유,여유,여유,여유
58,뱅뱅사거리뱅뱅프라자,37,34,30,25,여유,보통,여유,여유
59,도곡1동주민센터.역삼럭키아파트,55,35,42,24,보통,혼잡,여유,여유
60,도곡1차아이파크.도곡중학교,57,48,44,26,보통,보통,여유,여유
61,도곡렉슬아파트.강남세브란스병원,56,47,46,29,혼잡,혼잡,보통,여유
62,한티역6번출구,44,42,44,25,보통,혼잡,보통,여유
63,한티역3번출구.서울강남고용노동지청,48,43,45,35,보통,매우혼잡,보통,여유
64,삼성아파트입구,42,37,40,33,여유,여유,여유,여유
65,은마아파트,42,43,42,37,여유,혼잡,보통,여유
66,우성아파트,49,53,40,35,보통,보통,여유,여유
68,아시아선수촌아파트삼거리.성현교회,33,50,38,31,혼잡,혼잡,혼잡,보통
73,석촌동한솔아파트,34,44,27,27,보통,혼잡,혼잡,보통
77,한성백제역,41,43,22,24,보통,혼잡,혼잡,보통
79,올림픽회관,43,44,20,23,보통,혼잡,보통,보통
81,강동구청역농협중앙회,38,42,22,20,보통,보통,보통,보통
82,강동구청역1번출구.영파여고,36,38,20,18,혼잡,혼잡,보통,여유
83,천호역,34,40,20,18,보통,혼잡,보통,여유
87,암사역2번출구.암사종합시장,44,68,53,39,,,,
91,암사3동주민센터프라이어팰리스,37,46,42,24,,,,
98,상일동역8번출구,19,27,25,15,,,,
99,상일동역6번출구.고덕아르테온,21,37,43,15,,,,
