노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,1,도봉산역광역환승센터,1,0,5,4,10,1,2,1,2,1,3,2,2,7,16,2,7,1,0,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,2,도봉산역,3,3,7,16,27,6,4,7,4,5,4,10,19,16,14,18,11,11,3,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,3,도봉한신아파트,5,6,11,17,27,7,9,6,5,9,2,12,19,15,15,15,9,12,4,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,4,서울북부지방법원.검찰청.도봉역성황당,7,8,15,19,29,8,12,13,8,10,7,14,21,14,17,15,13,9,3,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,5,신도봉사거리,7,9,14,19,29,14,6,15,11,10,9,13,23,17,23,14,16,12,8,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,6,신도봉시장.도봉구청.방학북부역,9,12,15,24,31,15,15,19,10,11,11,13,24,25,24,15,16,13,10,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,7,도봉소방서.방학남부역,12,16,22,28,35,17,16,23,12,15,11,17,24,28,28,18,15,17,10,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,8,도봉보건소,17,15,22,46,43,19,14,20,15,14,14,17,23,26,30,16,14,17,12,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,9,도봉구민회관.도봉문화원(중),20,14,25,39,46,19,14,27,17,13,12,20,23,27,31,20,12,21,13,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,10,쌍문역,28,11,23,37,41,22,13,24,20,15,10,20,18,13,29,17,13,20,12,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,11,우이1교앞,26,14,25,37,42,28,20,18,21,11,9,20,22,15,29,15,12,21,11,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,12,수유3동우체국,29,12,24,36,42,36,22,17,20,14,8,15,19,15,28,13,13,19,9,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,13,수유(강북구청)역,31,17,25,35,41,34,18,15,17,11,5,17,15,20,18,14,11,13,8,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,14,수유역,31,15,26,30,39,32,15,18,16,10,8,18,15,19,17,13,10,11,9,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,15,수유시장.성신여대미아캠퍼스앞,31,19,17,38,39,38,16,19,19,11,10,19,13,25,18,12,11,11,8,0,0,0,0,0,
